Description,Bioregion,Exclude,AsiaNative,Also_nontrop
andaman is,Andamans,0,1,0
andaman isl,Andamans,0,1,0
andaman island,Andamans,0,1,0
andaman islands,Andamans,0,1,0
andamans,Andamans,0,1,0
baratang,Andamans,0,1,0
hut bay,Andamans,0,1,0
india andaman is,Andamans,0,1,0
india andaman islands,Andamans,0,1,0
little andaman,Andamans,0,1,0
nicobar,Andamans,0,1,0
nicobar is,Andamans,0,1,0
nicobar is bay of bengal,Andamans,0,1,0
nicobar isl,Andamans,0,1,0
nicobar island,Andamans,0,1,0
nicobar islands,Andamans,0,1,0
port blair,Andamans,0,1,0
south andaman,Andamans,0,1,0
south point,Andamans,0,1,0
balai ringgin,Borneo,0,1,0
bario,Borneo,0,1,0
batu niah,Borneo,0,1,0
belalong river,Borneo,0,1,0
borneo,Borneo,0,1,0
borneo java,Borneo,0,1,0
borneo malaysia peninsular,Borneo,0,1,0
borneo mengalum island,Borneo,0,1,0
borneo sabah,Borneo,0,1,0
borneo sarawak,Borneo,0,1,0
"borneo,java",Borneo,0,1,0
bornoe,Borneo,0,1,0
brunei,Borneo,0,1,0
brunei malaysia sarawak,Borneo,0,1,0
bukit monkobo,Borneo,0,1,0
danum valley,Borneo,0,1,0
e malaysia sarawak,Borneo,0,1,0
east malaysia,Borneo,0,1,0
east malaysia sabah,Borneo,0,1,0
east malaysia sarawak,Borneo,0,1,0
gunung mulu national park,Borneo,0,1,0
indoensia,Borneo,0,1,0
indoesia,Borneo,0,1,0
indon esia,Borneo,0,1,0
indonesia,Borneo,0,1,0
indonesia  sabah,Borneo,0,1,0
indonesia 'iles de la sonde',Borneo,0,1,0
indonesia borneo,Borneo,0,1,0
indonesia kalimantan,Borneo,0,1,0
indonesia kalimantan mandor,Borneo,0,1,0
indonesia sabah,Borneo,0,1,0
indonesia sarawak,Borneo,0,1,0
"indonesia,philippines",Borneo,0,1,0
kalabakan area,Borneo,0,1,0
kalimantan,Borneo,0,1,0
kuala belalong,Borneo,0,1,0
labuan island,Borneo,0,1,0
mainline west,Borneo,0,1,0
malasysia sarawak,Borneo,0,1,0
malatsia,Borneo,0,1,0
malay,Borneo,0,1,0
malaysi,Borneo,0,1,0
malaysi a,Borneo,0,1,0
malaysia,Borneo,0,1,0
malaysia ?malaysia peninsular or sarawak,Borneo,0,1,0
malaysia \nsarawak,Borneo,0,1,0
malaysia borneo,Borneo,0,1,0
malaysia malay peninsula and sabah,Borneo,0,1,0
malaysia negara,Borneo,0,1,0
malaysia sabah,Borneo,0,1,0
malaysia sarawak,Borneo,0,1,0
malaysia sarawak lambir hills national park,Borneo,0,1,0
malaysia semongoh forest reserve,Borneo,0,1,0
malaysia south africa,Borneo,0,1,1
"malaysia, thailand",Borneo,0,1,0
"malaysia,thailand",Borneo,0,1,0
malaysia: sarawak,Borneo,0,1,0
malaytsia sarawak,Borneo,0,1,0
mayalsia,Borneo,0,1,0
mayaysia,Borneo,0,1,0
maylasia sabah,Borneo,0,1,0
mendolong,Borneo,0,1,0
miri,Borneo,0,1,0
miri division,Borneo,0,1,0
mount kinabalu,Borneo,0,1,0
mount kinabalu region,Borneo,0,1,0
n borneo,Borneo,0,1,0
north borneo,Borneo,0,1,0
oriental region: indonesia,Borneo,0,1,0
papar,Borneo,0,1,0
pontianak,Borneo,0,1,0
poring hot springs,Borneo,0,1,0
prayer mountain,Borneo,0,1,0
sabah,Borneo,0,1,0
sandakan,Borneo,0,1,0
sarawak,Borneo,0,1,0
sg sui coastal area,Borneo,0,1,0
simunjan,Borneo,0,1,0
sipitang,Borneo,0,1,0
sungei menjuau,Borneo,0,1,0
temburong river,Borneo,0,1,0
tenompok,Borneo,0,1,0
ulu temburong,Borneo,0,1,0
ulu temburong ridge,Borneo,0,1,0
west kalimantan,Borneo,0,1,0
'bengal',Indian_Subcontinent,0,1,0
'india oriental',Indian_Subcontinent,0,1,0
'india oriental',Indian_Subcontinent,0,1,0
10 miles ne of trivandrum,Indian_Subcontinent,0,1,0
abu road,Indian_Subcontinent,0,1,0
afghanistan east india kashmir,Indian_Subcontinent,0,1,1
alwar district,Indian_Subcontinent,0,1,0
anamalai hills,Indian_Subcontinent,0,1,0
andhari khola,Indian_Subcontinent,0,1,0
andhra,Indian_Subcontinent,0,1,0
anu,Indian_Subcontinent,0,1,0
asia: ?japan: oriental reion: taiwan,Indian_Subcontinent,0,1,0
asia: india,Indian_Subcontinent,0,1,0
asia: india kashmir,Indian_Subcontinent,0,1,0
asia: nepal,Indian_Subcontinent,0,1,0
assam,Indian_Subcontinent,0,1,0
assam india,Indian_Subcontinent,0,1,0
australia and nepal,Indian_Subcontinent,0,1,1
bagaram kurum,Indian_Subcontinent,0,1,0
bagmati,Indian_Subcontinent,0,1,0
balsamandh,Indian_Subcontinent,0,1,0
bandipur,Indian_Subcontinent,0,1,0
bangla desh,Indian_Subcontinent,0,1,0
bangladesh,Indian_Subcontinent,0,1,0
banmuel,Indian_Subcontinent,0,1,0
bengal',Indian_Subcontinent,0,1,0
bengladesh,Indian_Subcontinent,0,1,0
bhutan,Indian_Subcontinent,0,1,0
bhuttan,Indian_Subcontinent,0,1,0
bismarck arch,Indian_Subcontinent,0,1,0
bismarck archipelago,Indian_Subcontinent,0,1,0
bismarck i,Indian_Subcontinent,0,1,0
