Regions,Bioregion,AsiaNative
india east to solomon is.,Indian_Subcontinent,1
india east to solomon is.,IndoChina,1
india east to solomon is.,Malaya,1
india east to solomon is.,Borneo,1
india east to solomon is.,Sulawesi,1
india east to solomon is.,Sumatra,1
india east to solomon is.,Java,1
india east to solomon is.,Maluku,1
india east to solomon is.,New_Guinea,1
sri lanka east to samoa,Indian_Subcontinent,1
sri lanka east to samoa,IndoChina,1
sri lanka east to samoa,Malaya,1
sri lanka east to samoa,Borneo,1
sri lanka east to samoa,Sulawesi,1
sri lanka east to samoa,Sumatra,1
sri lanka east to samoa,Java,1
sri lanka east to samoa,Maluku,1
sri lanka east to samoa,New_Guinea,1
[philippines]: mt. makiling,Philippines,1
amami-oshima is.,NA,0
amboina,Maluku,1
amboina island,Maluku,1
ambon,Maluku,1
andaman is.,Andamans,1
assam,Indian_Subcontinent,1
bangladesh,Indian_Subcontinent,1
batu is.,Sumatra,1
bhoutan,Indian_Subcontinent,1
bhutan,Indian_Subcontinent,1
bismark archipelago,New_Guinea,1
bismark archipelago: manu is.,New_Guinea,1
bismark archipelago: manus is.,New_Guinea,1
boreno,Borneo,1
borneo,Borneo,1
borneo: bruei,Borneo,1
borneo: brunei,Borneo,1
borneo: sabah,Borneo,1
borneo: sandakan,Borneo,1
borneo: sarawak,Borneo,1
bruei,Borneo,1
brunei,Borneo,1
burma,IndoChina,1
burma: bhamo,IndoChina,1
burma: carin cheba,IndoChina,1
burma: karennee,IndoChina,1
burma: rangoon,IndoChina,1
burma: tenasserim,IndoChina,1
burma: tensserim,IndoChina,1
cambodia,IndoChina,1
carin cheba,IndoChina,1
china,NA,0
china:,NA,0
china: guangdong,IndoChina,1
china: guangdong prov.,IndoChina,1
china: guangxi,IndoChina,1
china: guangxi prov.,IndoChina,1
china: guangxi zhuang,IndoChina,1
china: guangzhou,IndoChina,1
china: hainan,IndoChina,1
china: hainan is.,IndoChina,1
china: hainan prov.,IndoChina,1
china: hong kong,IndoChina,1
china: namoa islands,IndoChina,1
china: shaanxi nepal;india,Indian_Subcontinent,1
china: yunnan,IndoChina,1
china: yunnan prov.,IndoChina,1
circumtropical,NA,0
