Region,Bioregion,AsiaNative
and China Yarkand or India,NA,NA
and/or Laos,IndoChina,1
Asia,NA,NA
Asia without Russia,NA,NA
Asia and Pacific islands,NA,NA
Bali,Java,1
Bangladesh,Indian_Subcontinent,1
Bhutan,Indian_Subcontinent,1
Bismarck Arch.,New_Guinea,1
Borneo,Borneo,1
Borneo Brunei,Borneo,1
Borneo Indonesia,Borneo,1
Borneo Malaysia,Borneo,1
Brunei,Borneo,1
Brunei Borneo,Borneo,1
Cambodia,IndoChina,1
China,NA,NA
China Yongxing Is. = Woody Is.,NA,NA
China Hainan,NA,NA
China Himalaya,NA,NA
China Hong Kong,NA,NA
China incl. Hainan,NA,NA
Cina,NA,NA
China?,NA,NA
Himalaya Bhutan,Indian_Subcontinent,1
Himalaya China,NA,NA
Himalaya India,Indian_Subcontinent,1
Himalayas,NA,NA
Hong Kong,NA,NA
India,Indian_Subcontinent,1
India Andaman Is.,Andamans,1
India Himalaya,Indian_Subcontinent,1
India Himalayas,Indian_Subcontinent,1
India Karakorum,Indian_Subcontinent,1
India Kashmir,Indian_Subcontinent,1
India Laccadive Is.,Indian_Subcontinent,1
India mainland,Indian_Subcontinent,1
India Nicobar Is.,Andamans,1
India?,NA,NA
Indian Ocean Islands,Indian_Subcontinent,1
Indoensia Sumatra,Sumatra,1
Indonesia,Sumatra,1
Indonesia,Java,1
Indonesia,Borneo,1
Indonesia,Sulawesi,1
Indonesia,Lesser_Sundas,1
Indonesia,Maluku,1
Indonesia,New_Guinea,1
Indonesia Amboina,Maluku,1
Indonesia Ambon,Maluku,1
Indonesia Ambon Is.,Maluku,1
Indonesia Aru,Maluku,1
Indonesia Aru Is.,Maluku,1
Indonesia Bali,Java,1
Indonesia Banda Is.,Maluku,1
Indonesia Belitung,Sumatra,1
Indonesia Belitung Is.,Sumatra,1
Indonesia Biak Is.,New_Guinea,1
Indonesia Bintan Is.,Malaya,1
Indonesia Bodjo Is.,Sumatra,1
Indonesia Borneo,Borneo,1
Indonesia Buru Is.,Maluku,1
Indonesia Flores,Lesser_Sundas,1
Indonesia Gaya Is.,Borneo,1
Indonesia Halmahera,Maluku,1
Indonesia Java,Java,1
Indonesia Java?,NA,0
Indonesia Kalimantan,Borneo,1
Indonesia Kei Is,Maluku,1
Indonesia Kei Is.,Maluku,1
Indonesia Krakatau,Sumatra,1
Indonesia Krakatau Is.,Sumatra,1
Indonesia Krakatoa,Sumatra,1
Indonesia Lesser Sunda Is.,Lesser_Sundas,1
Indonesia Lombok,Lesser_Sundas,1
Indonesia Mentawai Is.,Sumatra,1
indonesia Moluccas,Maluku,1
Indonesia Moluccas,Maluku,1
Indonesia Moluccas or New Guinea,NA,1
Indonesia Moluccas: Ambon,Maluku,1
Indonesia Moluccas: Banda Besar,Maluku,1
Indonesia Moluccas: Banda Is.,Maluku,1
Indonesia Moluccas: Banda Neira,Maluku,1
Indonesia New Guinea,New_Guinea,1
Indonesia Nias Is.,Sumatra,1
Indonesia North Maluku,Maluku,1
Indonesia or Australia,NA,NA
Indonesia possibly Sumatra,NA,1
Indonesia Pulau Belitung,Sumatra,1
Indonesia Seram,Maluku,1
Indonesia Simeulue,Sumatra,1
Indonesia Simeulue/Sumatra,Sumatra,1
Indonesia Sulawesi,Sulawesi,1
Indonesia  Sulawesi,Sulawesi,1
Indonesia Sumatra,Sumatra,1
Indonesia Sumba,Lesser_Sundas,1
Indonesia Sumbawa,Lesser_Sundas,1
Indonesia Sunda Is.,Borneo,1
Indonesia Ternate,Maluku,1
Indonesia Timor,Lesser_Sundas,1
Indonesia Togian Is.,Sulawesi,1
Indonesia West Papua,New_Guinea,1
Indonesia West Timor,Lesser_Sundas,1
Indonesia Western New Guinea,New_Guinea,1
Japan,NA,NA
Japan and Malaysia,Malaya,1
Japan and Malaysia,Borneo,1
Japan incl. Ryukyu Is.,NA,NA
Japan Iriomote/Ryukyu Is.,NA,NA
Japan Okinawa,NA,NA
Japan Okinawa Is.,NA,NA
Japan Ryukyu Is.,NA,NA
Japan?,NA,NA
Japana Okinawa,NA,NA
Java,Java,1
Kashmir,Indian_Subcontinent,1
Laccadive Is.,Indian_Subcontinent,1
Laos,IndoChina,1
Laos or Cambodia or Vietnam,IndoChina,1
lndonesia Borneo,Borneo,1
Malaysia,Malaya,1
Malaysia,Borneo,1
Malaysia Borneo,Borneo,1
Malaysia Gaya Is.,Malaya,1
Malaysia mainland,Malaya,1
Malaysia or Indonesia Java,NA,1
Malaysia peninsula,Malaya,1
Malaysia Peninsula,Malaya,1
Malaysia peninsular,Malaya,1
Malaysia penisula,Malaya,1
Malaysia Tioman Is.,Malaya,1
Maldive Is.,Indian_Subcontinent,1
Maldives,Indian_Subcontinent,1
Moluccas,Maluku,1
Myanmar,IndoChina,1
Myanmar China,IndoChina,1
Myanmar Lombok,IndoChina,1
Myanmar Table Is.,IndoChina,1
Nepal,Indian_Subcontinent,1
Nepal?,NA,NA
New Guinea,New_Guinea,1
New Indonesia,New_Guinea,1
New Guinea Indonesia,New_Guinea,1
New Ireland,New_Guinea,1
New Papua New Guinea,New_Guinea,1
New Papua New Guinea/Bismarck Arch.,New_Guinea,1
Okinawa,NA,NA
Papua Bismarck Arch.,New_Guinea,1
Papua Guinea  New Britain,New_Guinea,1
Papua Guinea  New Guinea,New_Guinea,1
Papua Guinea  New Ireland,New_Guinea,1
Papua New Britain,New_Guinea,1
Papua New Guinea,New_Guinea,1
Papua New Guinea Aru Is.,New_Guinea,1
Papua new Guinea Bismarck Arch.,New_Guinea,1
Papua New Guinea Bismarck Arch.,New_Guinea,1
Papua New Guinea Bismarck Is.,New_Guinea,1
Papua New Guinea New Britain,New_Guinea,1
Papua New Guinea New Guinea,New_Guinea,1
Papua New Guinea New Ireland,New_Guinea,1
Papua New Guinea Riouw Is.,New_Guinea,1
Papua New Guinea Yule Is.,New_Guinea,1
Papua New Ireland,New_Guinea,1
Philippines,Philippines,1
Philippines,Palawan,1
Philippines and Indonesia,Philippines,1
Philippines and Indonesia,Palawan,1
Philippines and Indonesia,Sumatra,1
Philippines and Indonesia,Java,1
Philippines and Indonesia,Borneo,1
Philippines and Indonesia,Sulawesi,1
Philippines and Indonesia,Lesser_Sundas,1
Philippines and Indonesia,Maluku,1
Philippines and Indonesia,New_Guinea,1
Philippines Basilan Is.,Philippines,1
Philippines Bohoi Is.,Philippines,1
Philippines Camiguin Is.,Philippines,1
Philippines Cebu,Philippines,1
Philippines Dinagat Is.,Philippines,1
Philippines Luzon,Philippines,1
Philippines Mindanao,Philippines,1
Philippines Negros,Philippines,1
Philippines Palawan,Palawan,1
Philippines Palawan Is.,Palawan,1
Philippines Panay,Philippines,1
possibly Australasia,NA,NA
possibly Malaysia,NA,NA
possibly New Guinea,NA,NA
Ryukyu Is.,NA,NA
SE Asia,NA,1
Singapore,Malaya,1
SIngapore,Malaya,1
Southeast Asia,NA,1
Southeastern Asia,NA,1
Sri Lanka,Indian_Subcontinent,1
Sri Lanka introduced?,NA,NA
subtropical Asia,NA,1
Sulawesi,Sulawesi,1
Sumatra,Sumatra,1
Taiwan,NA,NA
Taiwan Orchid Is./Lanyu,NA,NA
Taiwan?,NA,NA
Temperate and tropical Asia,NA,1
Thailand,IndoChina,1
Thailand Australia  mainland,IndoChina,1
Thailand Lord Howe Is.,IndoChina,1
Thailand. Myanmar,IndoChina,1
Thailand Norfolk Is.,IndoChina,1
