Region,n,Bioregion,AsiaNative
afghanistan,1,NA,0
arunachal pradesh,1,Indian_Subcontinent,1
australia nsw,1,NA,0
australia nt,1,NA,0
australia queensland,9,NA,0
australia sa,1,NA,0
australia wa,1,NA,0
bangladesh and west bengal,2,Indian_Subcontinent,1
bangladesh arunachal pradesh,1,Indian_Subcontinent,1
bangladesh assam,3,Indian_Subcontinent,1
bangladesh bihar,1,Indian_Subcontinent,1
bangladesh meghalaya,1,Indian_Subcontinent,1
bangladesh mizoram,2,Indian_Subcontinent,1
bangladesh mymensingh,1,Indian_Subcontinent,1
bangladesh nagaland,2,Indian_Subcontinent,1
bangladesh punjab,1,Indian_Subcontinent,1
bangladesh samchi,1,Indian_Subcontinent,1
bangladesh tripura,1,Indian_Subcontinent,1
bangladesh uttar pradesh,1,Indian_Subcontinent,1
bangladesh uttarakhand,1,Indian_Subcontinent,1
bhutan ?,1,Indian_Subcontinent,1
bhutan assam,2,Indian_Subcontinent,1
bhutan meghalaya,1,Indian_Subcontinent,1
bhutan mizoram,1,Indian_Subcontinent,1
bhutan mymensingh,1,Indian_Subcontinent,1
bhutan nagaland,1,Indian_Subcontinent,1
bhutan nagaland. phuntsholing.,1,Indian_Subcontinent,1
bhutan samchi,1,Indian_Subcontinent,1
brunei brunei,1,Borneo,1
brunei sabah,2,Borneo,1
brunei sarawak,2,Borneo,1
brunei temburong,2,Borneo,1
cambodia,1,IndoChina,1
cambodia kampot,1,IndoChina,1
cambodia siem reap,1,IndoChina,1
china anhui,8,NA,0
china arunachal pradesh,3,Indian_Subcontinent,1
china bhamo,1,IndoChina,1
china cao bang. guangxi,1,IndoChina,1
china chongqing,12,NA,0
china fujian,38,NA,0
china gansu,2,NA,0
china guangdong,32,IndoChina,1
china guangxi,42,IndoChina,1
china guizhou,31,NA,0
china hainan island,15,IndoChina,1
china hebei,3,NA,0
china henan,9,NA,0
china hong kong,5,IndoChina,1
china hubei,31,NA,0
china hunan,26,NA,0
china jiangsu,2,NA,0
china jiangxi,37,NA,0
china macau,3,IndoChina,1
china shaanxi,5,NA,0
china shan,1,NA,0
china shandong,1,NA,0
china shanxi,3,NA,0
china sichuan,21,NA,0
china tibet,3,NA,0
china yunnan,76,IndoChina,1
china yunnan-myanmar border,4,IndoChina,1
china yunnan-vietnam border,2,IndoChina,1
china zhejiang,11,NA,0
"china zhejiang,",1,NA,0
india  and nagaland,1,Indian_Subcontinent,1
india  and tamil nadu,1,Indian_Subcontinent,1
india  assam,1,Indian_Subcontinent,1
india  kerala,3,Indian_Subcontinent,1
india  kerala; western ghats,2,Indian_Subcontinent,1
india  meghalaya,1,Indian_Subcontinent,1
india  puducherry,1,Indian_Subcontinent,1
india  west bengal,2,Indian_Subcontinent,1
india ?,1,Indian_Subcontinent,1
india and maharashtra,1,Indian_Subcontinent,1
india and mizoram,1,Indian_Subcontinent,1
india and nagaland,1,Indian_Subcontinent,1
