Raw,Context,Region,AsiaNative,Also_nontrop
afghanistan to n myanmar,,"Indian_Subcontinent, IndoChina",1,1
afghanistan to philippines,,"Indian_Subcontinent, IndoChina, Philippines, Palawan",1,1
africa to malaysia peninsular,,"Indian_Subcontinent, IndoChina, Malaya",1,1
africa to taiwan,,IndoChina,1,1
austral regs eastwards to new hebrides,oriental & austral regs eastwards to new hebrides,Unknown,1,1
borneo to australia qld,,"Borneo, Sulawesi, Java, Lesser_Sundas, Maluku, New_Guinea",1,1
caucasus to w india,,Indian_Subcontinent,1,1
china hainan i to philippines,,"IndoChina, Philippines, Palawan",1,1
coastal: oriental region to okinawa ,,IndoChina,1,1
e and se asia to new guinea,,"IndoChina, Malaya, Borneo, Sumatra, Java, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,1
e to bismarcks,"oriental, & australasian regions, e to bismarcks",Unknown,1,1
e to india kashmir,"kazakh (altai) & pakistan, e to india (kashmir)",IndoChina,1,1
e to japan,"scandinavia s to north africa, e to japan",NA,0,1
e to pacific is,"malaysia (peninsular) to taiwan, se australia, e to pacific is",NA,0,1
e to philippines,"nepal & india, e to philippines, s to australia & solomons","Indian_Subcontinent, IndoChina, Philippines, Palawan",1,0
east to sulawesi,"india, south to sri lanka, east to sulawesi","Indian_Subcontinent, IndoChina, Malaya, Borneo, Sulawesi",1,0
east to taiwan,"nepal & india, south to sri lanka, east to taiwan","Indian_Subcontinent, IndoChina",1,0
eastern mediterranean to western china,,NA,0,1
egypt e to myanmar,,IndoChina,1,1
egypt to oriental region,,NA,0,1
egypt to thailand,,IndoChina,1,1
europe to china,europe to china & taiwan,IndoChina,1,1
europe to japan,,NA,0,1
from china,"asia, from china & japan to india",Indian_Subcontinent,1,1
from japan to nepal,"se asia, from japan to nepal","Indian_Subcontinent, IndoChina",1,1
from taiwan,"widespread in asia, from taiwan",IndoChina,1,1
from taiwan to india,,"Indian_Subcontinent, IndoChina",1,0
from taiwan to new guinea and australia,,"IndoChina, Philippines, Palawan, Sulawesi, Maluku, New_Guinea",1,1
great britain to japan,,NA,0,1
india andaman is se to malaysia sabah,thailand & india (andaman is) se to malaysia (sabah) & indonesia ( e to sumbawa),"Andamans, IndoChina, Malaya, Sumatra, Java, Borneo, Lesser_Sundas",1,0
india assam to okinawa,"india (assam) to okinawa, s to australia (queensland)","Indian_Subcontinent, IndoChina, Philippines, Palawan, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,1
india assam to thailand,,"Indian_Subcontinent, IndoChina",1,0
india australia  nt,"india to australia (nt, qld) & guadalcanal","Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,1
india bombay to taiwan,,"Indian_Subcontinent, IndoChina",1,0
india qld,"india to australia (nt, qld) & guadalcanal","Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1,1
