Raw,Start,End,Start_region,End_region,Region,AsiaNative
Africa to China and India,-,"China, India",-,Indian_Subcontinent,Indian_Subcontinent,1
Africa to India,-,India,-,Indian_Subcontinent,Indian_Subcontinent,1
Angola to China,-,China,-,-,NA,NA
Armenia to China,-,China,-,-,NA,NA
Austria to China,-,China,-,-,NA,NA
Bangladesh to Japan,Bangladesh,Japan,Indian_Subcontinent,-,"Indian_Subcontinent, IndoChina",1
Bangladesh to Malaysia,Bangladesh,Malaysia,Indian_Subcontinent,Malaya; Borneo,"Indian_Subcontinent, IndoChina, Malaya, Borneo",1
Bangladesh to Philippines,Bangladesh,Philippines,Indian_Subcontinent,Philippines; Palawan,"Indian_Subcontinent, IndoChina, Philippines, Palawan",1
Bhutan to Vietnam,Bhutan,Vietnam,Indian_Subcontinent,IndoChina,"Indian_Subcontinent, IndoChina",1
Borneo to Australia,Borneo,Australia,Borneo,-,"Borneo, Sulawesi, Maluku, New_Guinea",1
Botswana to China,-,China,-,-,NA,NA
Bulgaria to China,-,China,-,-,NA,NA
Caucasus to Central Asia and China,-,China,-,-,NA,NA
Central Asia to China,-,China,-,-,NA,NA
China to Australia,China,Australia,-,-,"IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
China to Australia Queensland,China,Australia,-,-,"IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
China to Indonesia,China,Indonesia,-,Sumatra; Java; Borneo; Sulawesi; Lesser_Sundas; Maluku; New_Guinea,"IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
China to Indonesia Java,China,Java,-,Java,"IndoChina, Malaya, Sumatra, Java",1
China to Indonesia Moluccas,China,Moluccas,-,Maluku,"IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku",1
China to Indonesia Sulawesi,China,Sulawesi,-,Sulawesi,"IndoChina, Malaya, Borneo, Sulawesi",1
China to Indonesia Sumatra,China,Sumatra,-,Sumatra,"IndoChina, Malaya, Sumatra",1
China to Malaysia,China,Malaysia,-,Malaya; Borneo,"IndoChina, Malaya, Borneo",1
China to Philippines,China,Philippines,-,Philippines; Palawan,"IndoChina, Philippines, Palawan",1
Eastern Africa to India and Indonesia,-,Indonesia,-,Sumatra; Java; Borneo; Sulawesi; Lesser_Sundas; Maluku; New_Guinea ,"Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
France to Japan,-,Japan,-,-,NA,NA
Greece to China,-,China,-,-,NA,NA
India and China to Indonesia,India,Indonesia,Indian_Subcontinent,Sumatra; Java; Borneo; Sulawesi; Lesser_Sundas; Maluku; New_Guinea ,"Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
India Nicobar Is to Japan,Nicobar Is.,Japan,Andamans,-,"Andamans, IndoChina",1
India to Australia,India,-,Indian_Subcontinent,-,"Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
India to Bangladesh and Vietnam,India,Vietnam,Indian_Subcontinent,IndoChina,"Indian_Subcontinent, IndoChina",1
India to China,India,China,Indian_Subcontinent,-,Indian_Subcontinent,1
India to China and Indonesia,India,Indonesia,Indian_Subcontinent,Sumatra; Java; Borneo; Sulawesi; Lesser_Sundas; Maluku; New_Guinea ,"Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
India to China and Japan,India,Japan,Indian_Subcontinent,-,Indian_Subcontinent,1
India to China and Philippines,India,Philippines,Indian_Subcontinent,Philippines; Palawan,"Indian_Subcontinent, IndoChina, Philippines, Palawan",1
India to Indonesia Java,India,Java,Indian_Subcontinent,Java,"Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java",1
India to Indonesia Sulawesi and Japan,India,Sulawesi,Indian_Subcontinent,Sulawesi,"Indian_Subcontinent, IndoChina, Malaya, Borneo, Sulawesi, Philippines, Palawan",1
India to Indonesia Sumatra,India,Sumatra,Indian_Subcontinent,Sumatra,"Indian_Subcontinent, IndoChina, Malaya, Sumatra",1
India to Japan,India,Japan,Indian_Subcontinent,-,"Indian_Subcontinent, IndoChina",1
India to Malaysia,India,Malayasia,Indian_Subcontinent,Malaya; Borneo,"Indian_Subcontinent, IndoChina, Malaya, Borneo",1
India to Myanmar,India,Myanmar,Indian_Subcontinent,IndoChina,"Indian_Subcontinent, IndoChina",1
India to New Caledonia,India,-,Indian_Subcontinent,-,"Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
India to Papua New Guinea,India,-,Indian_Subcontinent,-,"Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
India to Philippines,India,Philippines,Indian_Subcontinent,Philippines; Palawan,"Indian_Subcontinent, IndoChina, Philippines, Palawan",1
India to Polynesia,India,-,Indian_Subcontinent,-,"Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
India to Singapore,India,Singapore,Indian_Subcontinent,Malaya,"Indian_Subcontinent, IndoChina, Malaya",1
India to Taiwan,India,Taiwan,Indian_Subcontinent,IndoChina,"Indian_Subcontinent, IndoChina",1
India to Vietnam,India,Vietnam,Indian_Subcontinent,IndoChina,"Indian_Subcontinent, IndoChina",1
India to Vietnam and Indonesia Sulawesi,India,Sulawesi,Indian_Subcontinent,Sulawesi,"Indian_Subcontinent, IndoChina, Malaya, Borneo, Sulawesi",1
Indonesia Java to New Guinea,Java,New_Guinea,Java,New_Guinea,"Java, Lesser_Sundas, Maluku, New_Guinea",1
Indonesia Moluccas to Australia,Maluku,Australia,Maluku,-,"Maluku, New_Guinea",1
Indonesia Moluccas to Australia Queensland,Maluku,Australia,Maluku,-,"Maluku, New_Guinea",1
Indonesia Moluccas to New Guinea,Maluku,New_Guinea,Maluku,New_Guinea,"Maluku, New_Guinea",1
Indonesia Sulawesi to Australia,Sulawesi,Australia,Sulawesi,-,"Sulawesi, Maluku, New_Guinea",1
Indonesia Sulawesi to Australia Queensland,Sulawesi,Australia,Sulawesi,-,"Sulawesi, Maluku, New_Guinea",1
Indonesia Sumatra to Australia,Sumatra,Australia,Sumatra,-,"Sumatra, Java, Lesser_Sundas",1
Indonesia Sumatra to New Guinea,Sumatra,New_Guinea,Sumatra,New_Guinea,"Sumatra, Java, Lesser_Sundas, Maluku, New_Guinea",1
Indonesia Sumatra to Philippines,Sumatra,Philippines,Sumatra,Philippines; Palawan,"Sumatra, Malaya, Borneo, Philippines, Palawan",1
