Realm,Bioregion,Label,Order,Colour
Terrestrial,Indian_Subcontinent,South Asia,1,#7A0177
Terrestrial,Andamans,NA,NA,#440154FF
Terrestrial,IndoChina,Indochina,2,#695196
Terrestrial,Philippines,Philippines,3,#253494
Terrestrial,Palawan,NA,NA,#003262
Terrestrial,Borneo,Borneo,4,#27AD81FF
Terrestrial,Malaya,Malay Peninsula,5,#006D2C
Terrestrial,Sumatra,Sumatra,6,#00441B
Terrestrial,Java,Java,7,#859438
Terrestrial,Sulawesi,Sulawesi,8,#f7cd63
Terrestrial,Lesser_Sundas,Lesser Sunda Islands,9,#FEC287FF
Terrestrial,Maluku,Maluku,10,#FD8D3C
Terrestrial,New_Guinea,New Guinea,11,#805338
Terrestrial,Northern_Australia,NA,NA,NA
Terrestrial,Unknown,Unknown,NA,NA
Marine,Central_Indian_Ocean_Islands,Central Indian Ocean Islands,1,#7A0177
Marine,West_and_South_Indian_Shelf,West and South Indian Shelf,2,#695196
Marine,Bay_of_Bengal,Bay of Bengal,3,#253494
Marine,Andaman,Andaman,4,#27AD81FF
Marine,Sunda_Shelf,Sunda Shelf,5,#006D2C
Marine,Java_Transitional,Java Transitional,6,#00441B
Marine,South_China_Sea,South China Sea,7,#859438
Marine,Western_Coral_Triangle,Western Coral Triangle,8,#f7cd63
Marine,South_Kuroshio,South Kuroshio,9,#FEC287FF
Marine,Sahul_Shelf,Sahul Shelf,10,#FD8D3C
Marine,Eastern_Coral_Triangle,Eastern Coral Triangle,11,#805338
Marine,Northwest_Australian_Shelf,NA,NA,NA
Marine,Northeast_Australian_Shelf,NA,NA,NA
